0.00000   		-0.00002        
0.01000   		-0.00002        
0.02000   		-0.00002        
0.03000   		-0.00001        
0.04000   		-0.00001        
0.05000   		-0.00001        
0.06000   		-0.00001        
0.07000   		-0.00001        
0.08000   		-0.00001        
0.09000   		-0.00001        
0.10000   		-0.00000        
0.11000   		0.00002         
0.12000   		0.00005         
0.13000   		0.00004         
0.14000   		0.00000         
0.15000   		-0.00004        
0.16000   		-0.00006        
0.17000   		-0.00004        
0.18000   		-0.00001        
0.19000   		0.00000         
0.20000   		0.00000         
0.21000   		-0.00001        
0.22000   		-0.00003        
0.23000   		-0.00003        
0.24000   		-0.00002        
0.25000   		-0.00001        
0.26000   		-0.00001        
0.27000   		0.00001         
0.28000   		0.00009         
0.29000   		0.00017         
0.30000   		0.00021         
0.31000   		0.00022         
0.32000   		0.00025         
0.33000   		0.00032         
0.34000   		0.00042         
0.35000   		0.00049         
0.36000   		0.00050         
0.37000   		0.00044         
0.38000   		0.00033         
0.39000   		0.00021         
0.40000   		0.00014         
0.41000   		0.00005         
0.42000   		-0.00008        
0.43000   		-0.00019        
0.44000   		-0.00022        
0.45000   		-0.00018        
0.46000   		-0.00014        
0.47000   		-0.00009        
0.48000   		-0.00001        
0.49000   		0.00013         
0.50000   		0.00028         
0.51000   		0.00040         
0.52000   		0.00034         
0.53000   		-0.00005        
0.54000   		-0.00057        
0.55000   		-0.00070        
0.56000   		-0.00015        
0.57000   		0.00069         
0.58000   		0.00119         
0.59000   		0.00125         
0.60000   		0.00118         
0.61000   		0.00117         
0.62000   		0.00109         
0.63000   		0.00097         
0.64000   		0.00100         
0.65000   		0.00121         
0.66000   		0.00135         
0.67000   		0.00124         
0.68000   		0.00081         
0.69000   		-0.00002        
0.70000   		-0.00111        
0.71000   		-0.00178        
0.72000   		-0.00132        
0.73000   		0.00003         
0.74000   		0.00108         
0.75000   		0.00093         
0.76000   		-0.00012        
0.77000   		-0.00112        
0.78000   		-0.00159        
0.79000   		-0.00177        
0.80000   		-0.00191        
0.81000   		-0.00174        
0.82000   		-0.00089        
0.83000   		0.00045         
0.84000   		0.00160         
0.85000   		0.00209         
0.86000   		0.00203         
0.87000   		0.00175         
0.88000   		0.00132         
0.89000   		0.00070         
0.90000   		0.00002         
0.91000   		-0.00055        
0.92000   		-0.00099        
0.93000   		-0.00130        
0.94000   		-0.00153        
0.95000   		-0.00176        
0.96000   		-0.00195        
0.97000   		-0.00194        
0.98000   		-0.00177        
0.99000   		-0.00172        
1.00000   		-0.00172        
